rpm,temperature,humidity,current,vibration,status
1501.8,36.7,62.8,0.75,0.119,0
1498.8,34.6,61.5,0.7,0.096,0
1506.3,35.9,56.2,0.73,0.069,0
1513.9,35.4,58.3,0.76,0.095,0
1431.8,44.2,60.0,1.04,0.317,1
1411.7,44.8,58.9,1.08,0.295,1
1487.7,34.9,63.7,0.7,0.12,0
1500.1,35.1,61.3,0.66,0.059,0
1108.3,59.9,53.5,1.62,0.568,2
1525.2,35.8,63.4,0.7,0.085,0
1377.7,43.7,61.1,0.93,0.228,1
1516.3,35.4,61.9,0.71,0.094,0
1481.5,36.3,58.1,0.68,0.096,0
1522.9,34.6,58.6,0.69,0.12,0
1409.0,44.7,62.0,0.98,0.329,1
1527.3,34.9,61.7,0.77,0.163,0
1483.6,34.9,60.5,0.77,0.11,0
1327.8,46.1,60.6,0.98,0.247,1
1492.1,34.5,58.3,0.69,0.107,0
1529.7,35.3,58.3,0.7,0.105,0
936.6,58.5,61.8,1.52,0.523,2
1476.9,34.5,57.3,0.67,0.064,0
1482.0,34.9,59.5,0.7,0.091,0
1496.6,35.6,60.5,0.72,0.115,0
1368.5,43.0,59.5,0.99,0.302,1
1449.6,44.9,59.0,1.05,0.278,1
1505.9,35.6,61.7,0.73,0.104,0
1500.4,36.2,59.3,0.73,0.116,0
1527.4,43.3,62.7,0.85,0.349,1
1480.7,35.3,57.9,0.7,0.091,0
1442.5,45.9,61.9,0.98,0.321,1
1316.5,45.0,53.9,1.02,0.275,1
1515.5,35.0,59.3,0.72,0.082,0
1530.3,33.9,62.4,0.73,0.093,0
1510.1,36.0,65.1,0.72,0.125,0
1481.2,36.5,56.3,0.71,0.096,0
1474.7,34.8,60.4,0.73,0.061,0
1519.0,35.9,57.3,0.74,0.088,0
1508.9,37.0,63.4,0.75,0.08,0
1515.5,36.7,61.6,0.77,0.127,0
1510.2,35.2,58.6,0.7,0.13,0
1512.3,36.7,59.1,0.73,0.103,0
1486.3,35.8,60.0,0.71,0.1,0
1492.0,35.8,62.5,0.73,0.099,0
1392.4,45.6,61.3,1.03,0.212,1
1561.5,34.8,58.4,0.76,0.075,0
1485.2,35.4,54.3,0.73,0.109,0
1501.9,36.1,58.6,0.71,0.085,0
1470.8,36.5,58.3,0.77,0.107,0
1512.8,35.5,60.9,0.69,0.09,0
1468.6,35.2,59.1,0.73,0.092,0
1502.5,34.8,59.5,0.69,0.146,0
1467.2,35.8,63.2,0.72,0.076,0
1488.9,35.7,59.6,0.72,0.098,0
1421.3,44.3,56.3,0.93,0.269,1
1500.5,35.3,59.5,0.68,0.08,0
1488.3,35.8,60.5,0.7,0.082,0
1494.7,35.0,58.9,0.7,0.088,0
1409.5,45.1,56.2,1.09,0.261,1
1414.0,44.6,59.3,1.02,0.245,1
1506.3,35.0,62.7,0.71,0.106,0
1515.3,35.2,58.4,0.71,0.109,0
1339.7,44.0,61.9,1.02,0.309,1
994.5,60.3,58.9,1.53,0.544,2
1516.3,35.7,61.3,0.72,0.095,0
1510.7,34.6,58.9,0.64,0.1,0
1431.9,43.5,59.6,0.93,0.271,1
1001.1,59.5,59.9,1.44,0.462,2
1515.4,35.7,60.1,0.71,0.117,0
1385.7,44.3,59.8,0.95,0.274,1
1473.7,35.3,58.8,0.76,0.094,0
1495.9,35.8,59.7,0.7,0.096,0
1353.6,45.8,63.0,1.1,0.207,1
1503.1,36.0,59.6,0.73,0.087,0
1529.9,35.5,64.3,0.78,0.098,0
1499.4,34.9,57.3,0.74,0.102,0
1495.7,35.0,60.5,0.68,0.129,0
1488.2,35.8,60.6,0.73,0.077,0
1517.1,35.0,62.4,0.69,0.118,0
1387.4,43.6,63.7,0.97,0.304,1
1514.3,36.1,59.2,0.73,0.094,0
1515.8,36.7,59.4,0.75,0.08,0
1492.2,34.1,60.6,0.66,0.097,0
1505.0,36.1,60.9,0.71,0.085,0
1510.3,34.7,61.6,0.74,0.106,0
1401.8,44.7,62.2,0.94,0.322,1
1372.5,43.2,57.7,0.95,0.29,1
1497.4,35.4,57.3,0.76,0.09,0
1353.6,45.2,58.1,1.08,0.29,1
1479.1,35.2,62.6,0.72,0.088,0
1402.6,44.8,60.1,1.12,0.251,1
1490.5,36.0,62.5,0.77,0.071,0
1470.1,35.1,62.2,0.76,0.094,0
1478.7,35.0,57.9,0.72,0.138,0
1525.2,35.6,54.4,0.74,0.102,0
1472.3,36.2,61.3,0.74,0.13,0
1491.6,36.1,59.5,0.69,0.093,0
1493.5,35.3,56.9,0.68,0.094,0
1550.0,34.8,61.3,0.69,0.093,0
1497.4,34.5,58.6,0.7,0.073,0
1500.5,36.0,56.7,0.72,0.068,0
1531.0,36.1,57.4,0.75,0.085,0
1510.4,34.0,58.0,0.77,0.088,0
1514.1,36.9,60.3,0.71,0.079,0
1512.2,35.0,60.5,0.72,0.088,0
983.2,59.8,63.6,1.57,0.52,2
1394.1,43.7,65.7,1.04,0.22,1
1382.4,44.8,58.1,1.04,0.345,1
1490.4,35.3,58.0,0.68,0.097,0
946.8,60.3,63.1,1.47,0.51,2
1513.8,35.6,55.9,0.75,0.114,0
1363.0,43.9,61.0,0.9,0.244,1
1517.7,35.4,57.6,0.75,0.081,0
1504.0,34.8,60.5,0.69,0.101,0
1505.6,35.1,61.8,0.64,0.065,0
1088.0,58.2,58.3,1.18,0.744,2
1498.0,35.2,63.5,0.7,0.081,0
1385.9,45.2,63.1,1.09,0.275,1
1401.7,44.8,61.4,1.01,0.272,1
1398.4,45.7,60.5,1.06,0.312,1
1403.8,43.7,62.0,0.92,0.256,1
1489.7,35.5,58.8,0.77,0.113,0
1496.3,36.4,60.4,0.7,0.056,0
1376.5,46.0,61.3,1.04,0.284,1
1478.0,35.6,62.6,0.76,0.098,0
1364.1,45.4,55.9,1.03,0.286,1
1322.3,43.3,61.7,0.98,0.305,1
1515.7,34.5,60.6,0.67,0.114,0
1506.6,35.7,63.4,0.71,0.106,0
1480.7,35.4,63.5,0.7,0.102,0
783.7,57.9,57.6,1.37,0.5,2
1392.4,42.8,62.8,0.88,0.293,1
1503.8,35.0,59.4,0.75,0.075,0
1487.1,34.6,62.0,0.67,0.11,0
1459.0,36.0,62.1,0.75,0.093,0
1519.3,35.9,58.7,0.71,0.065,0
1537.8,35.2,59.3,0.69,0.085,0
1510.8,35.1,57.1,0.73,0.08,0
1514.8,35.9,61.8,0.66,0.126,0
1545.5,35.4,56.3,0.69,0.11,0
1497.2,35.0,58.7,0.75,0.116,0
1380.2,44.1,59.5,1.01,0.336,1
1536.4,36.5,57.9,0.74,0.111,0
1143.1,58.3,58.4,1.34,0.649,2
1517.9,35.3,58.5,0.67,0.082,0
1514.7,35.9,62.0,0.69,0.094,0
1490.8,36.3,63.1,0.73,0.079,0
1070.8,58.8,59.7,1.44,0.514,2
1510.7,35.7,59.6,0.75,0.124,0
1486.1,35.7,55.5,0.74,0.105,0
1487.9,35.1,60.6,0.73,0.091,0
1330.4,44.4,58.5,0.92,0.343,1
1496.8,35.4,63.9,0.82,0.146,0
1458.0,34.5,59.9,0.74,0.118,0
1465.2,34.9,59.9,0.7,0.078,0
1488.6,34.7,59.6,0.7,0.101,0
1491.7,36.3,56.2,0.77,0.128,0
921.4,59.2,57.4,1.37,0.587,2
1489.8,35.0,63.1,0.66,0.141,0
1367.7,43.7,63.0,0.99,0.268,1
1544.2,34.8,62.9,0.73,0.083,0
1472.8,34.6,59.1,0.69,0.081,0
1522.1,35.3,63.3,0.71,0.099,0
1507.6,35.1,62.6,0.79,0.116,0
1509.0,35.7,60.5,0.72,0.082,0
1452.4,35.1,60.7,0.73,0.107,0
1361.2,44.1,58.5,0.91,0.257,1
1505.1,35.2,56.7,0.71,0.085,0
1503.7,35.9,63.3,0.73,0.104,0
1464.0,35.4,60.0,0.65,0.09,0
1361.1,45.0,57.4,1.02,0.277,1
1485.2,35.3,58.8,0.71,0.028,0
1498.2,35.7,62.3,0.79,0.116,0
917.1,59.2,58.8,1.32,0.755,2
1417.8,44.9,60.7,0.96,0.27,1
1536.3,35.7,55.6,0.68,0.131,0
1100.9,63.4,60.0,1.87,0.45,2
879.7,61.7,60.6,1.46,0.694,2
1505.8,34.7,61.4,0.69,0.073,0
1448.9,44.2,57.5,0.93,0.286,1
1504.9,35.8,57.5,0.71,0.127,0
1491.0,34.7,59.0,0.7,0.1,0
1536.2,35.1,62.4,0.74,0.079,0
1394.9,42.8,63.6,0.85,0.311,1
1463.2,34.9,59.7,0.75,0.088,0
1484.4,35.2,60.7,0.76,0.13,0
1509.4,34.5,61.3,0.77,0.095,0
1516.9,35.9,62.8,0.72,0.092,0
1493.3,36.8,57.4,0.77,0.057,0
1482.1,35.9,56.1,0.74,0.063,0
1103.1,56.4,55.5,1.27,0.323,2
958.0,61.1,60.9,1.61,0.707,2
1500.1,35.4,59.0,0.75,0.127,0
1470.0,36.3,60.5,0.7,0.127,0
1508.0,35.3,59.6,0.73,0.077,0
1407.8,46.1,60.6,1.03,0.293,1
1058.4,60.0,55.5,1.62,0.513,2
1485.9,34.5,58.6,0.77,0.103,0
1500.0,36.0,59.2,0.75,0.147,0
1513.9,34.7,59.9,0.66,0.082,0
972.0,58.8,58.7,1.5,0.618,2
1543.4,35.4,61.3,0.68,0.063,0
1521.4,36.5,61.3,0.66,0.1,0
1523.1,35.6,58.3,0.7,0.08,0
1426.1,43.7,59.8,1.05,0.248,1
1481.5,35.1,60.1,0.72,0.097,0
1390.1,44.3,61.6,0.96,0.262,1
1068.7,62.3,59.8,1.61,0.536,2
1519.7,35.3,61.7,0.67,0.104,0
1311.7,43.8,54.8,0.85,0.256,1
1480.4,34.9,59.2,0.72,0.126,0
1510.0,34.7,60.5,0.74,0.113,0
1491.8,36.2,57.0,0.69,0.113,0
1494.5,34.7,57.7,0.75,0.078,0
1499.1,35.9,60.2,0.72,0.101,0
1521.6,34.6,61.0,0.72,0.083,0
1089.1,59.2,62.0,1.49,0.532,2
1464.4,34.1,63.7,0.65,0.105,0
1389.1,43.4,58.8,0.97,0.282,1
1461.9,44.9,59.5,0.99,0.223,1
1506.2,35.9,60.4,0.7,0.127,0
1379.5,46.9,59.5,1.09,0.345,1
1477.2,35.2,62.0,0.72,0.084,0
1516.4,35.4,58.0,0.72,0.109,0
1498.0,35.9,64.6,0.69,0.115,0
1414.1,44.5,64.3,0.95,0.246,1
1491.0,34.7,59.0,0.73,0.085,0
1406.1,46.2,60.7,1.04,0.277,1
915.8,60.4,58.6,1.5,0.522,2
1507.3,34.8,61.0,0.72,0.058,0
1435.0,44.0,60.0,0.96,0.291,1
1488.4,34.7,60.7,0.71,0.114,0
1397.3,44.2,61.5,0.92,0.28,1
1478.9,34.9,59.5,0.73,0.066,0
1399.7,44.3,57.9,0.95,0.246,1
1530.7,35.4,63.4,0.74,0.086,0
1427.5,45.8,60.1,1.07,0.337,1
1188.0,59.1,58.5,1.45,0.723,2
1395.5,43.3,60.6,0.96,0.332,1
1543.3,35.5,60.4,0.76,0.104,0
1516.9,35.3,61.7,0.66,0.098,0
1482.8,35.9,58.1,0.72,0.057,0
1490.3,35.7,58.5,0.72,0.1,0
1496.7,34.7,57.5,0.72,0.057,0
1547.9,35.9,62.9,0.79,0.086,0
1410.2,44.0,61.3,0.89,0.287,1
1504.1,36.0,61.6,0.76,0.109,0
1525.0,35.6,59.1,0.72,0.113,0
1485.0,34.6,61.9,0.73,0.123,0
1478.0,36.7,59.2,0.77,0.083,0
1484.7,35.9,58.9,0.72,0.087,0
1516.2,35.2,56.9,0.72,0.074,0
906.8,58.7,62.6,1.57,0.528,2
1469.1,37.1,61.5,0.7,0.108,0
1483.9,34.5,62.0,0.72,0.114,0
1494.5,35.5,57.9,0.74,0.106,0
1530.9,35.9,61.4,0.73,0.092,0
1419.3,45.4,57.9,0.96,0.217,1
1479.9,35.2,60.4,0.68,0.12,0
882.6,59.5,64.7,1.48,0.622,2
1519.5,34.8,61.1,0.72,0.114,0
1372.0,44.1,61.2,0.94,0.271,1
1357.7,43.5,58.0,0.92,0.301,1
867.4,59.5,61.8,1.35,0.517,2
1509.7,35.9,59.9,0.73,0.112,0
1358.1,44.0,58.5,0.95,0.294,1
1350.8,43.1,60.0,0.93,0.281,1
1513.4,36.0,57.7,0.77,0.118,0
1539.4,35.7,59.1,0.73,0.112,0
1507.2,34.8,56.6,0.68,0.07,0
1495.6,36.3,56.9,0.68,0.119,0
1502.1,36.3,62.1,0.76,0.095,0
1496.8,35.6,60.6,0.71,0.083,0
1461.2,34.5,60.9,0.72,0.068,0
1496.8,35.0,62.9,0.69,0.107,0
1505.3,35.1,59.5,0.71,0.107,0
1491.6,35.7,61.4,0.66,0.079,0
957.4,60.1,58.6,1.55,0.57,2
1495.0,34.8,58.8,0.74,0.101,0
1455.9,35.0,59.1,0.76,0.073,0
1089.5,59.8,60.3,1.4,0.479,2
1420.0,44.5,62.8,0.93,0.199,1
1500.2,36.2,57.8,0.81,0.067,0
1520.7,35.3,57.7,0.69,0.128,0
1495.4,35.1,57.9,0.74,0.072,0
1527.4,36.3,57.4,0.69,0.125,0
1481.9,35.3,62.7,0.8,0.105,0
1386.9,43.7,58.7,0.95,0.316,1
1330.1,43.5,59.8,0.96,0.217,1
1432.1,44.5,60.0,0.98,0.282,1
1513.2,34.9,62.2,0.77,0.121,0
1356.4,43.5,60.2,0.9,0.217,1
913.2,60.8,61.0,1.51,0.426,2
1472.9,35.8,58.5,0.73,0.111,0
1481.0,34.5,60.3,0.69,0.115,0
1493.7,34.0,60.8,0.76,0.116,0
1507.4,36.0,59.4,0.73,0.099,0
1513.1,35.2,57.6,0.73,0.074,0
1503.5,35.2,64.1,0.81,0.107,0
1513.6,35.3,58.1,0.71,0.093,0
1459.4,45.5,57.9,0.98,0.295,1
1512.1,36.3,62.7,0.73,0.113,0
1492.6,34.5,60.2,0.67,0.084,0
1494.3,35.4,60.4,0.71,0.095,0
1494.0,35.9,61.7,0.64,0.093,0
1483.5,35.9,60.4,0.7,0.141,0
1468.3,34.7,60.4,0.66,0.137,0
1493.9,35.7,60.5,0.76,0.096,0
1541.1,35.9,56.5,0.75,0.092,0
1453.7,43.7,59.9,0.98,0.306,1
1520.1,34.8,57.9,0.74,0.101,0
1494.0,35.6,63.6,0.74,0.089,0
1502.9,35.4,61.9,0.7,0.103,0
1372.9,46.0,61.5,1.04,0.3,1
1367.7,44.1,67.3,0.95,0.355,1
1378.3,45.3,62.2,0.96,0.218,1
1408.2,46.0,64.1,1.09,0.297,1
1470.5,35.0,56.5,0.75,0.089,0
1518.3,35.5,62.5,0.74,0.109,0
1507.9,35.0,60.5,0.72,0.131,0
1521.5,36.2,62.8,0.69,0.119,0
1449.3,43.7,60.4,0.99,0.268,1
1506.5,35.9,60.3,0.76,0.126,0
1511.8,35.7,59.1,0.75,0.119,0
1406.6,45.4,61.4,1.05,0.214,1
1360.3,44.4,61.9,1.01,0.209,1
1474.8,34.4,62.1,0.74,0.112,0
1493.3,35.0,59.1,0.75,0.109,0
1435.2,35.7,61.8,0.73,0.1,0
1492.0,35.2,63.5,0.76,0.108,0
1443.4,44.8,60.6,1.09,0.395,1
1495.9,35.2,58.5,0.72,0.132,0
1543.1,35.5,60.0,0.71,0.081,0
1506.6,35.8,56.9,0.72,0.056,0
1524.0,35.9,60.4,0.72,0.098,0
1491.4,35.0,61.0,0.75,0.093,0
1483.2,35.1,59.7,0.73,0.093,0
1494.2,35.3,64.1,0.73,0.095,0
1398.5,42.7,61.0,0.91,0.241,1
1533.3,35.5,60.6,0.72,0.095,0
1381.0,43.6,55.3,0.95,0.312,1
1522.0,35.4,62.5,0.73,0.101,0
1380.4,44.2,59.7,0.93,0.324,1
1539.2,35.3,60.0,0.73,0.102,0
1492.5,34.8,59.1,0.71,0.062,0
1515.7,34.3,61.1,0.68,0.075,0
1385.6,44.5,56.7,0.93,0.308,1
1026.2,59.8,56.2,1.48,0.451,2
1514.9,35.5,60.5,0.72,0.109,0
1500.8,34.8,58.5,0.71,0.103,0
1494.1,35.3,61.8,0.73,0.077,0
1480.0,35.4,63.5,0.77,0.14,0
1523.7,35.8,59.9,0.68,0.133,0
1506.9,35.3,59.3,0.76,0.084,0
1488.6,35.5,58.1,0.71,0.153,0
1512.3,36.7,60.2,0.75,0.082,0
1417.5,45.3,62.7,0.95,0.167,1
1506.0,35.3,57.8,0.7,0.137,0
1410.5,44.6,59.5,0.97,0.278,1
913.4,60.1,59.1,1.59,0.433,2
1410.5,43.9,57.7,0.96,0.29,1
1516.1,35.6,60.7,0.73,0.115,0
1546.9,35.8,61.1,0.75,0.119,0
1508.3,34.9,56.6,0.73,0.101,0
1501.0,35.8,58.1,0.73,0.115,0
1501.4,35.8,63.3,0.66,0.129,0
1505.6,35.1,61.9,0.73,0.066,0
1508.2,35.2,64.0,0.7,0.13,0
1479.4,34.9,58.9,0.74,0.083,0
1520.6,35.6,59.1,0.74,0.105,0
1358.2,43.9,59.5,0.92,0.253,1
1030.9,59.1,60.7,1.17,0.521,2
1386.6,44.9,59.9,1.0,0.318,1
867.0,60.3,56.0,1.44,0.441,2
1390.4,43.1,60.4,1.01,0.269,1
1484.0,34.3,63.5,0.7,0.084,0
1507.3,36.1,62.0,0.73,0.062,0
1374.7,43.8,58.1,0.93,0.261,1
1387.9,44.7,59.3,1.01,0.288,1
1530.1,35.6,61.0,0.74,0.09,0
1499.6,35.8,60.0,0.72,0.124,0
1505.8,35.6,57.2,0.72,0.117,0
1430.8,44.4,57.6,0.98,0.271,1
1526.3,36.2,65.2,0.74,0.079,0
1374.8,44.9,59.0,1.08,0.249,1
1493.6,35.6,59.0,0.7,0.095,0
1500.8,35.0,58.8,0.68,0.109,0
1500.7,35.6,57.6,0.68,0.119,0
1334.2,44.5,65.2,1.01,0.257,1
1513.6,34.9,58.0,0.69,0.077,0
1407.2,46.4,58.9,0.98,0.292,1
1525.4,35.5,59.6,0.72,0.072,0
1359.9,46.5,63.7,1.11,0.288,1
1494.2,36.2,62.1,0.73,0.098,0
1411.0,46.1,62.6,1.03,0.26,1
1523.4,35.4,61.6,0.68,0.11,0
1500.8,35.2,61.9,0.68,0.094,0
1504.7,35.7,62.1,0.66,0.095,0
1524.5,34.7,60.5,0.67,0.081,0
1495.5,36.1,59.4,0.73,0.089,0
1399.5,43.5,54.8,0.98,0.302,1
1497.1,35.4,60.1,0.75,0.104,0
1418.8,45.6,61.1,1.03,0.293,1
1514.8,35.8,62.4,0.8,0.055,0
1507.6,35.2,58.0,0.75,0.124,0
1502.7,35.3,61.0,0.72,0.086,0
1519.6,34.9,59.4,0.74,0.078,0
1109.3,59.9,59.8,1.48,0.59,2
1531.5,35.5,60.1,0.73,0.07,0
1500.5,35.7,58.3,0.76,0.07,0
1414.0,43.3,59.2,0.86,0.365,1
1472.6,36.1,64.8,0.73,0.099,0
1465.0,35.7,60.3,0.71,0.103,0
1337.9,44.0,58.1,0.91,0.296,1
1516.7,34.2,58.0,0.7,0.123,0
1478.5,35.8,62.0,0.77,0.081,0
1438.2,46.6,61.4,1.04,0.265,1
1467.4,35.9,59.0,0.68,0.102,0
1370.8,44.3,59.4,1.06,0.275,1
1466.6,35.9,57.5,0.8,0.11,0
1505.0,35.3,60.2,0.68,0.095,0
1392.1,45.3,62.9,0.99,0.254,1
1371.9,44.7,60.3,1.06,0.313,1
1504.5,35.4,55.9,0.68,0.122,0
1277.3,43.9,59.9,1.0,0.281,1
1106.7,56.9,60.9,1.23,0.622,2
1523.8,35.5,61.0,0.72,0.056,0
967.1,59.8,62.3,1.39,0.513,2
1487.2,34.7,58.1,0.74,0.121,0
1466.6,35.2,62.7,0.78,0.109,0
1460.1,44.9,59.9,0.96,0.294,1
851.2,62.0,60.6,1.61,0.495,2
1514.1,34.9,57.2,0.74,0.103,0
1489.5,34.7,59.3,0.73,0.126,0
1520.6,35.7,57.1,0.75,0.077,0
1508.3,35.8,62.5,0.68,0.127,0
1487.8,35.9,57.0,0.72,0.119,0
1171.1,57.3,57.2,1.43,0.606,2
1482.8,36.3,61.3,0.74,0.103,0
1519.2,34.2,60.9,0.7,0.101,0
1387.8,44.5,62.5,0.95,0.306,1
1505.5,35.2,60.8,0.66,0.098,0
1404.5,46.3,62.7,1.11,0.291,1
1387.9,43.3,59.0,1.05,0.283,1
1511.4,34.6,58.1,0.72,0.13,0
1541.2,35.0,60.8,0.68,0.09,0
1306.3,44.6,59.9,1.03,0.28,1
1491.6,34.8,58.6,0.66,0.129,0
1476.2,35.3,61.2,0.71,0.111,0
1517.8,35.5,61.7,0.74,0.074,0
1516.7,34.8,58.3,0.7,0.117,0
1555.6,36.6,61.1,0.69,0.073,0
1436.6,35.8,58.7,0.73,0.09,0
1504.8,35.7,56.0,0.76,0.059,0
1506.4,35.9,60.2,0.77,0.1,0
1317.5,44.3,62.3,1.05,0.249,1
954.0,57.3,63.4,1.38,0.508,2
1485.4,34.5,60.0,0.69,0.087,0
1388.9,43.0,57.1,0.98,0.191,1
1343.8,44.2,61.5,0.97,0.331,1
1504.8,35.2,59.5,0.72,0.116,0
1497.3,35.2,55.2,0.68,0.143,0
1503.8,34.9,59.8,0.74,0.129,0
1502.0,36.3,62.3,0.73,0.102,0
1502.2,35.2,60.8,0.69,0.119,0
1492.3,34.6,61.0,0.69,0.105,0
1487.4,35.2,58.9,0.7,0.071,0
1348.8,44.5,59.4,1.04,0.209,1
1439.0,44.9,60.9,1.07,0.343,1
959.2,60.1,59.9,1.53,0.635,2
1473.3,35.0,58.5,0.71,0.103,0
1492.8,36.5,61.4,0.7,0.107,0
1406.5,42.0,61.8,0.87,0.231,1
1525.1,35.6,57.3,0.7,0.105,0
1521.3,35.6,64.1,0.73,0.128,0
1485.1,35.1,62.1,0.7,0.115,0
1341.4,44.2,57.7,0.88,0.231,1
1497.7,35.1,63.5,0.72,0.085,0
1519.9,35.8,61.2,0.76,0.083,0
1489.6,35.7,58.8,0.71,0.109,0
1255.4,61.1,64.5,1.54,0.74,2
1526.7,34.9,61.2,0.72,0.106,0
1528.4,35.5,61.7,0.65,0.126,0
1396.0,44.4,61.4,1.05,0.231,1
